TotalGHGEmissions,SiteEnergyUseWN(kBtu),log-SiteEnergyUseWN(kBtu),log-TotalGHGEmissions
263.53,10142007.0,16.132196564135842,5.577954666416711
8.45,1369895.0,14.130245382514056,2.2460147415056513
4725.43,142494256.0,18.774812255106458,8.460925439642576
30.27,2407341.0,14.694033792255723,3.44265917146975
8.66,551381.0,13.220183132860546,2.2679936482244267
10780.64,297740960.0,19.51173440805626,9.285599966472553
175.9,8680483.0,15.976587845450645,5.17558460116574
127.73,4285693.0,15.27079305722658,4.857717187671543
105.92,2690623.0,14.805283694937303,4.672080891270718
467.18,13085938.0,16.387048852930683,6.148852837356725
43.78,3045139.0,14.929057435080718,3.8017616111706087
80.79,2835789.0,14.857831115937604,4.4041549867468825
144.53,5741732.0,15.563271639104478,4.980382250925235
192.09,11430634.0,16.251807589783397,5.263156401454447
68.3,3183918.0,14.973623385924324,4.238444906195857
38.55,2295845.0,14.646611961001357,3.677565694213663
65.33,4466541.0,15.312125065415765,4.194642283537465
16.83,2790234.0,14.841636379641134,2.8808824318750488
218.12,6645204.0,15.70940609991698,5.389619524954822
223.86,5987042.0,15.605108192109858,5.415477986321614
47.96,2237428.0,14.620837996784106,3.8910036382040705
56.51,2568364.0,14.758780067648301,4.051958845725663
202.07,9239505.0,16.038998978985195,5.313550747188626
371.48,19745870.0,16.79845496416349,5.920183345103019
977.73,25053130.0,17.036509367704507,6.8862558128689
798.63,27255250.0,17.120756757757505,6.6841491206818135
45.32,1590846.0,14.27977713676231,3.83557383326474
26.35,3993902.0,15.200279506233333,3.3087165288679903
71.62,10273140.0,16.14504337740354,4.28524036598619
61.62,4870875.0,15.398784355679595,4.1370847158982595
145.67,19176010.0,16.769170628729903,4.988185165258664
69.01,10155788.0,16.133554445694863,4.248638088989106
173.47,24882924.0,17.029692383233794,5.16175280709181
392.65,40250124.0,17.510623667414087,5.975462189630476
282.01,0.0,0.0,5.645482232707993
374.82,33271260.0,17.32020454929022,5.929110305361006
152.04,3742258.0,15.135199997744863,5.030699325131997
94.89,7546235.0,15.836559453864947,4.56320170116559
25.48,3981771.0,15.197237504307529,3.2763897310688073
509.69,15191665.0,16.536257545977183,6.235762752494589
198.93,24672050.0,17.02118162246368,5.297967305283741
228.07,9047478.0,16.017996713334167,5.434027633700484
267.71,38019316.0,17.453604930633844,5.593632731155213
128.87,18718988.0,16.745049021145064,4.866533950121999
50.6,4425113.0,15.302806598804178,3.9435216724875173
37.14,4767764.0,15.377388199599931,3.641263600172273
208.81,20309614.0,16.826604977197675,5.346202359268609
68.75,9861998.0,16.10419944436689,4.244917420701475
862.64,26291068.0,17.084739857728007,6.761156015307713
321.72,47306916.0,17.672167079557074,5.776785074205902
182.71,26208138.0,17.081580569344922,5.213358427320846
22.01,3157579.0,14.965316469386215,3.1359289040472746
139.34,19046346.0,16.762385882618783,4.944068049824143
216.66,30180428.0,17.22270422591468,5.382934212267916
218.49,10171258.0,16.135076555839607,5.391306673390865
704.76,51103256.0,17.74935879091185,6.55927523635663
290.4,41655852.0,17.544952444915246,5.674696893761104
449.01,39156264.0,17.483070993141148,6.109269804739678
180.89,10742509.0,16.189719325512865,5.203402108751749
452.16,65842744.0,18.00277980544456,6.116245264005288
300.3,14294092.0,16.475356932967284,5.708106446136256
234.15,15134162.0,16.532465196629243,5.460223608391057
69.18,3436894.0,15.050079005467147,4.2510633701550695
73.39,6316094.0,15.658611695409848,4.30932152420325
177.92,6821411.0,15.735577046513377,5.186938778564647
28.07,4025787.0,15.208231226070618,3.3697067145707846
43.92,6299357.0,15.655958281407214,3.8048831298702424
166.68,23219110.0,16.960486247540715,5.122057401132677
73.67,9831408.0,16.101092818575935,4.3130784050476105
189.56,24850520.0,17.028389276081903,5.24996710560699
180.14,26942314.0,17.10920865695465,5.199270212946803
143.82,20248772.0,16.823604757088425,4.975491591960675
129.21,13010612.0,16.38127596698053,4.869148531740637
156.08,22388122.0,16.924041152992945,5.056755229709809
328.38,13172196.0,16.393618878333754,5.797212099446062
597.76,22418644.0,16.925403536672167,6.394860850047035
82.43,2536790.0,14.746410454423255,4.424007956913983
266.18,13434023.0,16.413301151319185,5.587922588561666
579.99,21205032.0,16.869749117126354,6.3647335449998295
1088.2,33323772.0,17.321781604146402,6.993198760799604
395.71,56762408.0,17.85438485121595,5.9832055351682865
2937.83,67162360.0,18.022623544409775,7.985766821942283
147.77,11328646.0,16.242845208397625,5.002401489169152
144.17,7040080.0,15.767130233749853,4.9779054694733365
55.69,1302105.0,14.079493511647222,4.037597828336212
47.01,6743116.0,15.72403283889349,3.8714093225428488
63.32,3415305.0,15.04377765165798,4.163870624870711
